channel;units_sold;units_returned;gross_sales;taxes;net_sales;returned_sales_value;realized_net_sales;return_rate;net_sales_mix;realized_sales_mix;net_sales_per_unit;realized_net_sales_per_unit
online;38684;6923;7687810;1614440,1;6073369,9;1085049,2;4988320,7;0,178962878709544;0,579182102;0,555756385;156,999532106;128,950488574
wholesale;9555;397;1889540;0,0;1889540,0;79850,0;1809690,0;0,0415489272632129;0,180194483;0,201620311;197,754055468;189,397174254
retail;12852;1718;2541120;533635,2;2007484,8;272889,7;1734595,1;0,1336756924992219;0,191442195;0,193253874;156,200186741;134,966938998
marketplace;3300;476;652810;137090,1;515719,9;72593,1;443126,8;0,1442424242424242;0,049181219;0,04936943;156,278757576;134,280848485
